sale_id,sale_date,product_id,store_id,customer_id,units_sold,unit_price,discount,cost_per_unit,total_sales,profit,region,channel,category,subcategory,product_name
50042,2024-07-10,401,6,10677,1,30.72,0.02,7.97,30.11,22.14,Europe,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50043,2024-07-31,301,3,10633,1,520.81,0.02,275.96,510.39,234.43,UK,Retail,Tablets,Android Tablet,TabMaster 11
50044,2024-12-25,401,2,10545,1,31.75,0.21,7.77,25.08,17.31,UK,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50045,2024-10-08,102,8,10101,2,1404.86,0.15,942.86,2388.26,502.54,Europe,Partner Store,Laptops,Gaming,Predator X15
50046,2024-08-29,101,5,10057,1,1188.95,0.01,729.63,1177.06,447.43,Asia,Partner Store,Laptops,Ultrabook,ZenBook Pro 14
50047,2024-10-02,103,2,10338,1,1039.17,0.23,616.63,800.16,183.53,UK,Retail,Laptops,Business,ThinkPro 13
50048,2024-12-06,301,2,10138,2,537.34,0.02,265.45,1053.19,522.29,UK,Retail,Tablets,Android Tablet,TabMaster 11
50049,2024-04-21,101,2,10386,1,1272.67,0.23,763.09,979.96,216.87,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50050,2024-05-06,401,7,10166,1,27.23,0.21,8.34,21.51,13.17,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50051,2024-12-14,401,1,10681,1,31.4,0.14,8.13,27,18.87,Europe,Online,Accessories,Smartphone Accessories,QuickCharge 30W
50052,2024-11-01,301,2,10185,1,511.69,0.1,271.75,460.52,188.77,UK,Retail,Tablets,Android Tablet,TabMaster 11
50053,2024-02-11,302,5,10116,2,619.66,0.18,320.82,1016.24,374.6,Asia,Partner Store,Tablets,iPad,iPad Air 5
50054,2024-09-26,102,8,10695,1,1500.29,0.03,909.65,1455.28,545.63,Europe,Partner Store,Laptops,Gaming,Predator X15
50055,2024-08-16,103,3,10413,1,993.58,0.13,595.61,864.41,268.8,UK,Retail,Laptops,Business,ThinkPro 13
50056,2024-09-27,101,7,10542,4,1273.1,0.13,741.61,4430.39,1463.95,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50057,2024-12-26,103,3,10062,2,985.77,0.07,606.41,1833.53,620.71,UK,Retail,Laptops,Business,ThinkPro 13
50058,2024-07-04,102,1,10055,1,1518.3,0.04,935.41,1457.57,522.16,Europe,Online,Laptops,Gaming,Predator X15
50059,2024-02-09,102,4,10289,2,1646.42,0.08,975.24,3029.41,1078.93,USA,Wholesale,Laptops,Gaming,Predator X15
50060,2024-10-15,402,5,10665,1,57.81,0.14,18.21,49.72,31.51,Asia,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50061,2024-02-27,402,5,10050,1,59.99,0.06,18.33,56.39,38.06,Asia,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50062,2024-02-01,302,6,10298,1,577.31,0.04,315.86,554.22,238.36,Europe,Retail,Tablets,iPad,iPad Air 5
50063,2024-10-07,402,4,10613,2,60.51,0.16,18.8,101.66,64.06,USA,Wholesale,Accessories,Tablet Accessories,TabCover Pro
50064,2024-09-15,301,7,10033,1,484.74,0.23,282.8,373.25,90.45,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50065,2024-04-13,402,1,10125,1,61.39,0.18,18.2,50.34,32.14,Europe,Online,Accessories,Tablet Accessories,TabCover Pro
50066,2024-10-20,103,4,10321,1,933.6,0.09,620.74,849.58,228.84,USA,Wholesale,Laptops,Business,ThinkPro 13
50067,2024-10-01,402,4,10199,2,62.62,0.06,19.06,117.73,79.61,USA,Wholesale,Accessories,Tablet Accessories,TabCover Pro
50068,2024-03-17,403,4,10556,1,131.43,0.22,43.99,102.52,58.53,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50069,2024-03-25,101,2,10655,1,1189.47,0.23,761.69,915.89,154.2,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50070,2024-06-16,402,1,10563,1,66.48,0.01,17.74,65.82,48.08,Europe,Online,Accessories,Tablet Accessories,TabCover Pro
50071,2024-09-23,102,5,10460,1,1526.29,0.11,944.6,1358.4,413.8,Asia,Partner Store,Laptops,Gaming,Predator X15
50072,2024-08-14,201,5,10496,1,1200.29,0.14,685.6,1032.25,346.65,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50073,2024-02-29,301,3,10514,1,483.34,0.16,275.86,406.01,130.15,UK,Retail,Tablets,Android Tablet,TabMaster 11
50074,2024-12-14,102,4,10352,1,1533.29,0.21,947.94,1211.3,263.36,USA,Wholesale,Laptops,Gaming,Predator X15
50075,2024-04-15,201,1,10210,1,1091.87,0.18,692.76,895.33,202.57,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50076,2024-10-25,102,5,10290,2,1462.33,0.07,961.53,2719.93,796.87,Asia,Partner Store,Laptops,Gaming,Predator X15
50077,2024-09-07,103,8,10558,1,1022.23,0.12,627.94,899.56,271.62,Europe,Partner Store,Laptops,Business,ThinkPro 13
50078,2024-02-16,402,3,10396,1,56.59,0.03,17.4,54.89,37.49,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50079,2024-09-18,302,2,10081,1,580.69,0.26,317.4,429.71,112.31,UK,Retail,Tablets,iPad,iPad Air 5
50080,2024-08-16,201,6,10561,1,1140,0.28,634.17,820.8,186.63,Europe,Retail,Smartphones,Android,Galaxy S24 Ultra
50081,2024-01-29,101,7,10635,1,1184.02,0.23,765.61,911.7,146.09,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50082,2024-08-20,101,4,10610,1,1337.3,0.06,747.19,1257.06,509.87,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50083,2024-03-08,101,8,10493,1,1129.49,0.02,730.63,1106.9,376.27,Europe,Partner Store,Laptops,Ultrabook,ZenBook Pro 14
50084,2024-09-19,201,1,10535,1,1274.74,0.1,652.43,1147.27,494.84,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50085,2024-07-31,103,2,10600,2,1046.76,0.06,623.8,1967.91,720.31,UK,Retail,Laptops,Business,ThinkPro 13
50086,2024-08-21,101,7,10685,1,1335.26,0.07,759.31,1241.79,482.48,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50087,2024-10-15,301,8,10150,2,496.37,0.02,269.86,972.89,433.17,Europe,Partner Store,Tablets,Android Tablet,TabMaster 11
50088,2024-01-30,101,1,10138,1,1197.05,0.11,780.67,1065.37,284.7,Europe,Online,Laptops,Ultrabook,ZenBook Pro 14
50089,2024-10-13,302,3,10487,1,588.36,0.26,318.78,435.39,116.61,UK,Retail,Tablets,iPad,iPad Air 5
50090,2024-08-24,301,4,10646,1,485.64,0.09,260.96,441.93,180.97,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50091,2024-12-10,403,1,10395,1,144.33,0.04,45.11,138.56,93.45,Europe,Online,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50092,2024-06-06,402,2,10243,1,58.31,0.09,17.06,53.06,36,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50093,2024-01-12,201,5,10132,1,1142.3,0.11,706.62,1016.65,310.03,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50094,2024-07-21,103,2,10091,1,983.01,0.1,599.83,884.71,284.88,UK,Retail,Laptops,Business,ThinkPro 13
50095,2024-05-10,403,3,10235,1,131.8,0.22,44.89,102.8,57.91,UK,Retail,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50096,2024-01-02,101,3,10687,2,1165.96,0.28,741.85,1678.98,195.28,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50097,2024-04-21,402,1,10539,2,60.27,0.01,17.84,119.33,83.65,Europe,Online,Accessories,Tablet Accessories,TabCover Pro
50098,2024-10-23,201,5,10069,1,1120.75,0.17,703.96,930.22,226.26,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50099,2024-02-07,401,1,10169,1,27.62,0.03,8.29,26.79,18.5,Europe,Online,Accessories,Smartphone Accessories,QuickCharge 30W
50100,2024-01-24,402,3,10137,1,63.96,0.11,17.52,56.92,39.4,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50101,2024-08-04,301,8,10324,1,500.23,0.09,266.63,455.21,188.58,Europe,Partner Store,Tablets,Android Tablet,TabMaster 11
50102,2024-06-25,103,6,10304,1,1024.88,0.3,625.11,717.42,92.31,Europe,Retail,Laptops,Business,ThinkPro 13
50103,2024-12-24,302,6,10483,2,590.73,0.1,301.94,1063.31,459.43,Europe,Retail,Tablets,iPad,iPad Air 5
50104,2024-02-02,403,8,10292,1,139.22,0.01,45.37,137.83,92.46,Europe,Partner Store,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50105,2024-10-04,202,8,10032,5,1386.6,0.03,716.47,6725.01,3142.66,Europe,Partner Store,Smartphones,iOS,iPhone 15 Pro
50106,2024-01-31,302,8,10167,2,630.62,0.01,318.27,1248.63,612.09,Europe,Partner Store,Tablets,iPad,iPad Air 5
50107,2024-02-05,202,5,10463,1,1284.69,0.1,726.91,1156.22,429.31,Asia,Partner Store,Smartphones,iOS,iPhone 15 Pro
50108,2024-08-29,402,8,10226,1,61.59,0.09,18.04,56.05,38.01,Europe,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50109,2024-01-17,102,4,10094,1,1528.88,0.21,975.19,1207.82,232.63,USA,Wholesale,Laptops,Gaming,Predator X15
50110,2024-05-26,402,5,10516,1,63.16,0.02,17.79,61.9,44.11,Asia,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50111,2024-07-28,201,3,10623,2,1322,0.13,680.23,2300.28,939.82,UK,Retail,Smartphones,Android,Galaxy S24 Ultra
50112,2024-04-02,103,7,10585,1,1003.26,0.17,616.38,832.71,216.33,USA,Wholesale,Laptops,Business,ThinkPro 13
50113,2024-03-10,402,7,10361,5,55.52,0.09,17.93,252.62,162.97,USA,Wholesale,Accessories,Tablet Accessories,TabCover Pro
50114,2024-11-24,202,7,10055,2,1335.78,0.06,751.3,2511.27,1008.67,USA,Wholesale,Smartphones,iOS,iPhone 15 Pro
50115,2024-11-26,302,3,10508,1,616.8,0.25,312.09,462.6,150.51,UK,Retail,Tablets,iPad,iPad Air 5
50116,2024-08-03,201,5,10064,1,1285.29,0.11,703.76,1143.91,440.15,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50117,2024-07-10,401,6,10165,1,29.55,0.17,7.84,24.53,16.69,Europe,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50118,2024-07-14,202,4,10330,1,1288.08,0.22,779,1004.7,225.7,USA,Wholesale,Smartphones,iOS,iPhone 15 Pro
50119,2024-08-17,201,1,10639,1,1207.51,0.16,691.53,1014.31,322.78,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50120,2024-07-12,202,5,10599,2,1313.76,0.12,749.76,2312.22,812.7,Asia,Partner Store,Smartphones,iOS,iPhone 15 Pro
50121,2024-07-11,401,6,10070,2,30.09,0.09,7.73,54.76,39.3,Europe,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50122,2024-02-11,403,1,10566,2,133.01,0.04,43.64,255.38,168.1,Europe,Online,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50123,2024-12-15,103,2,10526,1,935.03,0.22,604.26,729.32,125.06,UK,Retail,Laptops,Business,ThinkPro 13
50124,2024-12-04,301,7,10002,1,490.96,0.12,270.26,432.04,161.78,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50125,2024-10-03,101,2,10307,1,1157.36,0.13,754.16,1006.9,252.74,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50126,2024-03-09,103,2,10630,5,1053.98,0.1,609.64,4742.91,1694.71,UK,Retail,Laptops,Business,ThinkPro 13
50127,2024-11-30,103,1,10693,1,1032.55,0,603.59,1032.55,428.96,Europe,Online,Laptops,Business,ThinkPro 13
50128,2024-06-27,102,5,10607,1,1613.03,0.13,904.08,1403.34,499.26,Asia,Partner Store,Laptops,Gaming,Predator X15
50129,2024-03-01,402,2,10579,1,55.37,0.17,18.13,45.96,27.83,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50130,2024-04-01,202,5,10571,1,1263.64,0.04,689.63,1213.09,523.46,Asia,Partner Store,Smartphones,iOS,iPhone 15 Pro
50131,2024-10-02,302,1,10503,2,565.97,0.02,316.31,1109.3,476.68,Europe,Online,Tablets,iPad,iPad Air 5
50132,2024-07-20,201,2,10216,1,1140.88,0.04,703.99,1095.24,391.25,UK,Retail,Smartphones,Android,Galaxy S24 Ultra
50133,2024-09-27,301,5,10040,1,474.74,0.14,277.74,408.28,130.54,Asia,Partner Store,Tablets,Android Tablet,TabMaster 11
50134,2024-03-06,302,6,10614,1,599.74,0.09,327.34,545.76,218.42,Europe,Retail,Tablets,iPad,iPad Air 5
50135,2024-04-24,102,3,10470,1,1556.91,0.03,868.48,1510.2,641.72,UK,Retail,Laptops,Gaming,Predator X15
50136,2024-01-02,102,6,10337,1,1539.42,0.14,958.44,1323.9,365.46,Europe,Retail,Laptops,Gaming,Predator X15
50137,2024-01-12,101,4,10063,1,1165.3,0.08,735.19,1072.08,336.89,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50138,2024-06-01,401,2,10621,2,30.21,0.25,8.29,45.32,28.74,UK,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50139,2024-08-25,401,2,10471,2,27.09,0.28,7.77,39.01,23.47,UK,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50140,2024-12-10,403,4,10188,1,125.18,0.12,45.13,110.16,65.03,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50141,2024-10-05,402,7,10377,1,63.66,0.12,18.27,56.02,37.75,USA,Wholesale,Accessories,Tablet Accessories,TabCover Pro
50142,2024-08-05,401,4,10553,1,31.16,0.17,8.21,25.86,17.65,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50143,2024-09-29,103,5,10181,1,978.57,0.13,630.35,851.36,221.01,Asia,Partner Store,Laptops,Business,ThinkPro 13
50144,2024-07-13,201,5,10155,1,1246.66,0.12,671.31,1097.06,425.75,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50145,2024-04-27,202,3,10595,1,1280.22,0.08,723.03,1177.8,454.77,UK,Retail,Smartphones,iOS,iPhone 15 Pro
50146,2024-05-06,101,6,10559,1,1213.61,0.27,760.83,885.94,125.11,Europe,Retail,Laptops,Ultrabook,ZenBook Pro 14
50147,2024-08-23,101,8,10552,2,1325.54,0.19,762.92,2147.37,621.53,Europe,Partner Store,Laptops,Ultrabook,ZenBook Pro 14
50148,2024-06-26,301,7,10625,1,503.42,0.16,272.14,422.87,150.73,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50149,2024-03-20,403,4,10270,2,120.32,0.08,43.97,221.39,133.45,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50150,2024-05-21,201,7,10401,1,1204.48,0.05,718.01,1144.26,426.25,USA,Wholesale,Smartphones,Android,Galaxy S24 Ultra
50151,2024-04-06,101,1,10093,1,1177.13,0.07,764.88,1094.73,329.85,Europe,Online,Laptops,Ultrabook,ZenBook Pro 14
50152,2024-02-27,403,6,10243,5,125.98,0.1,44.05,566.91,346.66,Europe,Retail,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50153,2024-01-17,301,4,10690,1,488.77,0.09,258.49,444.78,186.29,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50154,2024-12-04,402,2,10234,1,61.92,0.11,19.11,55.11,36,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50155,2024-08-02,201,1,10310,1,1214.84,0.11,651.62,1081.21,429.59,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50156,2024-11-10,201,6,10409,1,1209.46,0.24,667.45,919.19,251.74,Europe,Retail,Smartphones,Android,Galaxy S24 Ultra
50157,2024-01-09,102,7,10050,1,1577.45,0.11,915.07,1403.93,488.86,USA,Wholesale,Laptops,Gaming,Predator X15
50158,2024-05-03,201,1,10313,1,1138.39,0.06,694.71,1070.09,375.38,Europe,Online,Smartphones,Android,Galaxy S24 Ultra
50159,2024-04-15,401,7,10557,1,31.88,0.11,7.97,28.37,20.4,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50160,2024-02-04,301,6,10678,1,523.16,0.13,272.64,455.15,182.51,Europe,Retail,Tablets,Android Tablet,TabMaster 11
50161,2024-02-21,302,2,10578,1,597.63,0.06,318.22,561.77,243.55,UK,Retail,Tablets,iPad,iPad Air 5
50162,2024-10-31,301,3,10227,5,512.09,0.19,263.89,2073.96,754.51,UK,Retail,Tablets,Android Tablet,TabMaster 11
50163,2024-01-18,403,7,10602,2,128.71,0.21,45.41,203.36,112.54,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50164,2024-08-16,102,1,10003,2,1386.47,0.02,994.57,2717.48,728.34,Europe,Online,Laptops,Gaming,Predator X15
50165,2024-11-02,101,2,10515,2,1200.92,0.27,752.21,1753.34,248.92,UK,Retail,Laptops,Ultrabook,ZenBook Pro 14
50166,2024-12-10,201,5,10622,1,1248.56,0.17,664.6,1036.3,371.7,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50167,2024-12-26,402,1,10009,1,61.39,0.06,18.52,57.71,39.19,Europe,Online,Accessories,Tablet Accessories,TabCover Pro
50168,2024-01-25,301,4,10300,1,522.64,0.18,277.02,428.56,151.54,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50169,2024-05-05,301,4,10062,1,493.3,0.1,268.51,443.97,175.46,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50170,2024-01-23,102,5,10249,2,1451.39,0.07,957.41,2699.59,784.77,Asia,Partner Store,Laptops,Gaming,Predator X15
50171,2024-07-24,103,4,10478,1,990.42,0.22,624.44,772.53,148.09,USA,Wholesale,Laptops,Business,ThinkPro 13
50172,2024-08-12,302,6,10082,2,625.24,0.25,319.22,937.86,299.42,Europe,Retail,Tablets,iPad,iPad Air 5
50173,2024-04-29,402,1,10109,1,59.78,0.05,17.92,56.79,38.87,Europe,Online,Accessories,Tablet Accessories,TabCover Pro
50174,2024-10-03,401,4,10369,1,29.69,0.15,8,25.24,17.24,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
50175,2024-04-21,302,5,10254,1,657.67,0.12,314.94,578.75,263.81,Asia,Partner Store,Tablets,iPad,iPad Air 5
50176,2024-01-29,401,8,10307,1,29.04,0.17,7.85,24.1,16.25,Europe,Partner Store,Accessories,Smartphone Accessories,QuickCharge 30W
50177,2024-03-12,401,6,10078,1,30.38,0.15,8.17,25.82,17.65,Europe,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50178,2024-09-14,101,7,10395,1,1164.49,0.14,784.3,1001.46,217.16,USA,Wholesale,Laptops,Ultrabook,ZenBook Pro 14
50179,2024-05-28,202,6,10270,1,1447.99,0.07,761.36,1346.63,585.27,Europe,Retail,Smartphones,iOS,iPhone 15 Pro
50180,2024-04-29,301,2,10289,1,510.51,0.11,250.58,454.35,203.77,UK,Retail,Tablets,Android Tablet,TabMaster 11
50181,2024-10-21,401,1,10265,1,29.87,0.19,7.7,24.19,16.49,Europe,Online,Accessories,Smartphone Accessories,QuickCharge 30W
50182,2024-06-12,402,3,10649,1,67.2,0.15,18.62,57.12,38.5,UK,Retail,Accessories,Tablet Accessories,TabCover Pro
50183,2024-10-22,202,4,10007,2,1357.47,0.24,739.34,2063.35,584.67,USA,Wholesale,Smartphones,iOS,iPhone 15 Pro
50184,2024-11-02,403,4,10061,1,127.66,0.14,44.92,109.79,64.87,USA,Wholesale,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50185,2024-12-10,403,3,10418,1,127.43,0.13,45.91,110.86,64.95,UK,Retail,Accessories,Laptop Accessories,USB-C Dock 8-in-1
50186,2024-06-13,402,7,10045,1,65.79,0.22,17.55,51.32,33.77,USA,Wholesale,Accessories,Tablet Accessories,TabCover Pro
50187,2024-05-01,302,3,10265,1,579.1,0.04,301.81,555.94,254.13,UK,Retail,Tablets,iPad,iPad Air 5
50188,2024-06-03,201,5,10657,1,1233.71,0.03,680.86,1196.7,515.84,Asia,Partner Store,Smartphones,Android,Galaxy S24 Ultra
50189,2024-03-14,102,5,10527,1,1557.2,0.06,951.65,1463.77,512.12,Asia,Partner Store,Laptops,Gaming,Predator X15
50190,2024-12-04,301,2,10209,1,491.17,0.08,255.49,451.88,196.39,UK,Retail,Tablets,Android Tablet,TabMaster 11
50191,2024-09-23,201,4,10128,1,1246.56,0.21,668.62,984.78,316.16,USA,Wholesale,Smartphones,Android,Galaxy S24 Ultra
50192,2024-04-23,301,7,10546,1,437.78,0.18,272.75,358.98,86.23,USA,Wholesale,Tablets,Android Tablet,TabMaster 11
50193,2024-07-30,201,3,10397,5,1316.78,0.06,657.3,6188.87,2902.37,UK,Retail,Smartphones,Android,Galaxy S24 Ultra
50194,2024-06-02,402,8,10482,1,57.38,0.11,18.07,51.07,33,Europe,Partner Store,Accessories,Tablet Accessories,TabCover Pro
50195,2024-05-20,402,6,10364,1,59.72,0.01,18.53,59.12,40.59,Europe,Retail,Accessories,Tablet Accessories,TabCover Pro
50196,2024-02-01,401,3,10206,1,29.02,0.21,7.85,22.93,15.08,UK,Retail,Accessories,Smartphone Accessories,QuickCharge 30W
50197,2024-10-12,401,8,10137,1,28.4,0.08,7.9,26.13,18.23,Europe,Partner Store,Accessories,Smartphone Accessories,QuickCharge 30W
50198,2024-10-29,202,6,10269,1,1290.39,0.24,743.6,980.7,237.1,Europe,Retail,Smartphones,iOS,iPhone 15 Pro
50199,2024-03-30,401,7,10455,2,29.1,0.2,7.85,46.56,30.86,USA,Wholesale,Accessories,Smartphone Accessories,QuickCharge 30W
